session_num,file_key,team_id,team_name,session_id,condition,run_order,run_one_condition,run_two_condition,participant_count,exported_at,study_session_start,study_session_end,total_messages,messages_auto_ask,messages_auto_research,messages_manual_ask,messages_manual_research,total_overrides,total_insight_requests,total_traceability_clicks,total_context_panel_opens,total_ai_toggles
1,1/1 jc/session-study-team-01-timeline.json,study-team-01,Study Team 01,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,AI_ON,AB,AI_ON,AI_LIGHT,3,2026-03-22T10:39:56.116Z,2026-03-19T09:17:19.900Z,2026-03-19T10:15:25.283Z,7,1,1,5,0,5,0,0,1,0
1,1/3 sam/session-study-team-03-timeline.json,study-team-03,Study Team 03,session-1773912267195-y6grf9u3,AI_ON,AB,AI_ON,AI_LIGHT,3,2026-03-22T10:41:15.623Z,2026-03-19T09:28:21.382Z,2026-03-19T09:46:42.972Z,9,3,0,5,1,6,3,6,2,2
1,1/4 ai on/session-study-team-04-timeline.json,study-team-04,Study Team 04,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,AI_ON,BA,AI_LIGHT,AI_ON,3,2026-03-22T10:41:38.822Z,2026-03-19T09:31:56.913Z,2026-03-19T09:58:14.313Z,37,3,0,34,0,34,6,14,3,1
1,1/5 ai light/session-study-team-05-timeline.json,study-team-05,Study Team 05,0f54578d-f9a0-4a58-bfbe-17df9611f2e5,AI_LIGHT,,,,3,2026-03-22T10:41:50.774Z,2026-03-19T09:53:55.111Z,2026-03-19T10:15:18.908Z,29,22,0,7,0,7,0,0,1,1
2,2/1 willson/session-study-team-01-timeline.json,study-team-01,Solo - Participant 1,bcc50e9e-16fe-41e4-83a9-427dc9fea108,AI_ON,AB,AI_ON,AI_LIGHT,1,2026-03-25T17:31:40.291Z,2026-03-24T14:41:14.636Z,2026-03-25T08:13:39.658Z,33,20,0,11,2,13,0,0,1,0
2,2/2 aly/session-study-team-02-timeline.json,study-team-02,Solo - Participant 2,session-1774423145554-io7twprp,AI_ON,AB,AI_ON,AI_LIGHT,1,2026-03-25T17:31:47.070Z,2026-03-25T07:24:07.313Z,2026-03-25T08:09:19.079Z,10,0,0,5,5,10,0,4,1,0
2,2/3 roys/session-study-team-03-timeline.json,study-team-03,Solo - Participant 3,session-1774423176213-g9a2idqc,AI_ON,AB,AI_ON,AI_LIGHT,1,2026-03-25T17:31:53.037Z,2026-03-25T07:23:19.324Z,2026-03-25T08:12:03.160Z,6,0,0,3,3,6,0,5,0,0
2,2/4 ai on/session-study-team-04-timeline.json,study-team-04,Team - AI On,bcc50e9e-16fe-41e4-83a9-427dc9fea108,AI_ON,AB,AI_ON,AI_LIGHT,3,2026-03-25T17:31:59.216Z,2026-03-24T14:41:09.985Z,2026-03-25T08:31:55.372Z,43,26,0,15,2,17,0,3,1,0
2,2/5 ai light/session-study-team-05-timeline.json,study-team-05,Team - AI Light,bcc50e9e-16fe-41e4-83a9-427dc9fea108,AI_LIGHT,BA,AI_LIGHT,AI_ON,3,2026-03-25T17:32:06.075Z,2026-03-24T14:41:14.636Z,2026-03-25T08:43:40.600Z,58,48,0,10,0,10,0,0,3,0
3,3/1 aung/session-study-team-01-timeline.json,study-team-01,Solo - Participant 1,session-1774510353943-xxpeb11f,AI_ON,AB,AI_ON,AI_LIGHT,1,2026-03-27T19:10:28.974Z,2026-03-26T07:44:12.785Z,2026-03-26T08:41:32.159Z,11,1,0,8,2,10,0,1,2,2
3,3/2 shanyl/session-study-team-02-timeline.json,study-team-02,Solo - Participant 2,session-1774510800830-3fyb8bt0,AI_ON,AB,AI_ON,AI_LIGHT,1,2026-03-27T19:10:35.578Z,2026-03-26T07:43:36.002Z,2026-03-26T08:06:05.793Z,10,0,0,8,2,10,0,1,4,0
3,3/4 ai on/session-study-team-04-timeline.json,study-team-04,Team - AI On,session-1774510353943-xxpeb11f,AI_ON,AB,AI_ON,AI_LIGHT,3,2026-03-27T19:10:44.923Z,2026-03-26T08:06:37.804Z,2026-03-26T08:48:33.154Z,30,17,0,12,1,13,0,0,3,6
3,3/5 ai light/session-study-team-05-timeline.json,study-team-05,Team - AI Light,session-1774510800830-3fyb8bt0,AI_LIGHT,BA,AI_LIGHT,AI_ON,3,2026-03-27T19:10:51.029Z,2026-03-26T08:22:55.020Z,2026-03-26T08:41:46.206Z,51,40,0,11,0,11,0,0,6,0
