session_num,condition,insight_type,final_status,count
1,AI_ON,action,new,3
1,AI_ON,document,accepted,1
1,AI_ON,document,dismissed,2
1,AI_ON,document,new,6
1,AI_ON,suggestion,dismissed,1
1,AI_ON,suggestion,new,6
1,AI_ON,summary,new,4
2,AI_ON,action,new,3
2,AI_ON,document,new,10
2,AI_ON,suggestion,new,6
2,AI_ON,summary,new,4
3,AI_ON,action,accepted,2
3,AI_ON,action,new,1
3,AI_ON,document,accepted,1
3,AI_ON,document,archived,1
3,AI_ON,document,new,2
3,AI_ON,suggestion,accepted,1
3,AI_ON,suggestion,dismissed,1
3,AI_ON,suggestion,new,1
3,AI_ON,summary,new,1
